com.google.code.gson:gson<L>com.google.gson.Gson.fromJson(com.google.gson.JsonElement, java.lang.reflect.Type) |com.fasterxml.jackson.core:jackson-databind<L>com.fasterxml.jackson.databind.ObjectMapper.readValue(byte[], JavaType)
com.google.code.gson:gson<L>com.google.gson.Gson.fromJson(com.google.gson.JsonElement, java.lang.reflect.Type)|com.fasterxml.jackson.core:jackson-databind<L>com.fasterxml.jackson.databind.ObjectReader.readValue(JsonParser, JavaType)
com.google.code.gson:gson<L>com.google.gson.JsonSerializer.serialize(T, java.lang.reflect.Type, com.google.gson.JsonSerializationContext)|com.fasterxml.jackson.core:jackson-databind<L>com.fasterxml.jackson.databind.ObjectMapper.writeValueAsString(java.lang.Object)
com.google.code.gson:gson<L>com.google.gson.Gson.Gson()|com.fasterxml.jackson.core:jackson-databind<L>com.fasterxml.jackson.databind.ObjectMapper.ObjectMapper()
com.google.code.gson:gson<L>com.google.gson.GsonBuilder.setPrettyPrinting()|com.fasterxml.jackson.core:jackson-databind<L>com.fasterxml.jackson.databind.ObjectMapper.writerWithDefaultPrettyPrinter()
com.google.code.gson:gson<L>com.google.gson.GsonBuilder.GsonBuilder()|com.fasterxml.jackson.core:jackson-databind<L>com.fasterxml.jackson.databind.ObjectMapper.ObjectMapper()
com.google.code.gson:gson<L>com.google.gson.GsonBuilder.create()|com.fasterxml.jackson.core:jackson-databind<L>com.fasterxml.jackson.databind.ObjectMapper.ObjectMapper()
com.google.code.gson:gson<L>com.google.gson.JsonObject.get(java.lang.String)|com.fasterxml.jackson.core:jackson-core<L>com.fasterxml.jackson.core.TreeNode.get(java.lang.String)
com.google.code.gson:gson<L>com.google.gson.JsonElement.getAsJsonObject()|com.fasterxml.jackson.core:jackson-databind<L>com.fasterxml.jackson.databind.ObjectMapper.readTree(java.net.URL)
com.google.code.gson:gson<L>com.google.gson.JsonParser.JsonParser()|com.fasterxml.jackson.core:jackson-databind<L>com.fasterxml.jackson.databind.ObjectMapper.ObjectMapper()
com.google.code.gson:gson<L>com.google.gson.TypeAdapter.toJson(T)|com.fasterxml.jackson.core:jackson-databind<L>com.fasterxml.jackson.databind.ObjectMapper.writeValueAsString(java.lang.Object)
com.google.code.gson:gson<L>com.google.gson.Gson.toJson(com.google.gson.JsonElement)|com.fasterxml.jackson.core:jackson-databind<L>com.fasterxml.jackson.databind.ObjectMapper.writeValueAsString(java.lang.Object)
com.google.collections:google-collections<L>com.google.common.collect.AbstractBiMap.put(K, V)|com.google.guava:guava-collections<L>com.google.common.collect.AbstractBiMap.put(K, V)
com.google.collections:google-collections<L>com.google.common.collect.AbstractMultimap.size()|com.google.guava:guava-collections<L>com.google.common.collect.AbstractMultimap.Values.size()
com.google.collections:google-collections<L>com.google.common.collect.AbstractListMultimap.put(K, V)|com.google.guava:guava-collections<L>com.google.common.collect.AbstractListMultimap.put(K, V)
com.google.collections:google-collections<L>com.google.common.base.Joiner.MapJoiner.join(java.util.Map<?, ?>)|com.google.guava:guava-base<L>com.google.common.base.Joiner.join(java.lang.Object[])
com.google.collections:google-collections<L>com.google.common.collect.TreeMultiset.create(java.lang.Iterable<? extends E>)|com.google.guava:guava-collections<L>com.google.common.collect.TreeMultiset.create(java.lang.Iterable<? extends E>)
com.google.collections:google-collections<L>com.google.common.collect.Ordering.sortedCopy(java.lang.Iterable<E>)|com.google.guava:guava-collections<L>com.google.common.collect.Ordering.sortedCopy(java.lang.Iterable<E>)
com.google.collections:google-collections<L>com.google.common.collect.ImmutableSortedSet.copyOf(java.util.Iterator<? extends E>)|com.google.guava:guava-collections<L>com.google.common.collect.ImmutableSortedSet.copyOf(E[])
com.google.collections:google-collections<L>com.google.common.collect.ImmutableSet.copyOf(java.util.Iterator<? extends E>)|com.google.guava:guava-collections<L>com.google.common.collect.ImmutableSet.copyOf(java.util.Iterator<? extends E>)
com.google.collections:google-collections<L>com.google.common.collect.TreeMultimap.create(com.google.common.collect.Multimap<? extends K, ? extends V>)|com.google.guava:guava-collections<L>com.google.common.collect.TreeMultimap.create(com.google.common.collect.Multimap<? extends K, ? extends V>)
com.google.collections:google-collections<L>com.google.common.collect.Maps.newLinkedHashMap()|com.google.guava:guava-collections<L>com.google.common.collect.MapMaker.makeMap()
com.google.collections:google-collections<L>com.google.common.base.Joiner.on(char)|com.google.guava:guava-base<L>com.google.common.base.Joiner.on(char)
com.google.collections:google-collections<L>com.google.common.base.Joiner.MapJoiner.join(java.util.Map<?, ?>)|com.google.guava:guava-base<L>com.google.common.base.Joiner.MapJoiner.join(java.util.Map<?, ?>)
com.googlecode.json-simple:json-simple<L>org.json.simple.JSONObject.toJSONString()|com.google.code.gson:gson<L>com.google.gson.JsonElement.toString()
com.googlecode.json-simple:json-simple<L>org.json.simple.JSONObject.toString()|com.google.code.gson:gson<L>com.google.gson.Gson.toJson(com.google.gson.JsonElement)
com.googlecode.json-simple:json-simple<L>org.json.simple.JSONValue.toJSONString(java.lang.Object)|com.google.code.gson:gson<L>com.google.gson.Gson.toJson(com.google.gson.JsonElement)
com.googlecode.json-simple:json-simple<L>org.json.simple.ItemList.add(java.lang.String)|com.google.code.gson:gson<L>com.google.gson.JsonArray.add(com.google.gson.JsonElement)
commons-httpclient:commons-httpclient<L>org.apache.commons.httpclient.URI.getURI()|org.apache.httpcomponents:httpclient<L>org.apache.http.client.methods.HttpUriRequest.getURI()
commons-httpclient:commons-httpclient<L>org.apache.commons.httpclient.HttpMethod.addRequestHeader(java.lang.String, java.lang.String)|org.apache.httpcomponents:httpclient<L>org.apache.http.client.methods.RequestBuilder.addHeader(java.lang.String, java.lang.String)
commons-httpclient:commons-httpclient<L>org.apache.commons.httpclient.HttpClient.HttpClient()|org.apache.httpcomponents:httpclient<L>org.apache.http.impl.client.DefaultHttpClient.DefaultHttpClient()
commons-httpclient:commons-httpclient<L>org.apache.commons.httpclient.methods.DeleteMethod.DeleteMethod(java.lang.String)|org.apache.httpcomponents:httpclient<L>org.apache.http.client.methods.HttpDelete.HttpDelete(java.lang.String)
commons-httpclient:commons-httpclient<L>org.apache.commons.httpclient.methods.GetMethod.GetMethod(java.lang.String)|org.apache.httpcomponents:httpclient<L>org.apache.http.client.methods.HttpGet.HttpGet(java.lang.String)
commons-httpclient:commons-httpclient<L>org.apache.commons.httpclient.methods.HeadMethod.HeadMethod(java.lang.String)|org.apache.httpcomponents:httpclient<L>org.apache.http.client.methods.HttpHead.HttpHead(java.lang.String)
commons-httpclient:commons-httpclient<L>org.apache.commons.httpclient.methods.OptionsMethod.OptionsMethod(java.lang.String)|org.apache.httpcomponents:httpclient<L>org.apache.http.client.methods.HttpOptions.HttpOptions(java.lang.String)
commons-httpclient:commons-httpclient<L>org.apache.commons.httpclient.methods.PostMethod.PostMethod()|org.apache.httpcomponents:httpclient<L>org.apache.http.client.methods.HttpPost.HttpPost()
commons-httpclient:commons-httpclient<L>org.apache.commons.httpclient.methods.PostMethod.PostMethod(java.lang.String)|org.apache.httpcomponents:httpclient<L>org.apache.http.client.methods.HttpPost.HttpPost(java.lang.String)
